"file name,","file size,","number of words,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphabetic,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary
Class_LM10XSummaries.py,4069,210,0.0,1.9047619047619049,0.9523809523809524,0.0,0.0,0.4761904761904762,0.0,0.0,2362,70,36,1.5142857142857142,5.1571428571428575,67
EDGAR_DownloadForms_v2.1.py,5988,425,0.4705882352941176,1.411764705882353,0.9411764705882352,0.0,0.7058823529411765,0.2352941176470588,1.411764705882353,0.2352941176470588,3262,71,39,1.5529411764705883,4.943529411764706,204
EDGAR_Forms_v2.1.py,592,20,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,223,102,22,1.45,4.75,18
EDGAR_Pac_v2.1.py,3385,226,0.0,4.424778761061947,0.0,0.0,0.0,0.0,0.0,0.0,1921,56,30,1.407079646017699,4.68141592920354,107
General_Utilities_v2.1.py,3112,185,0.0,10.27027027027027,0.0,0.0,0.0,0.0,0.0,0.0,1636,75,39,1.4864864864864864,4.902702702702703,66
Generic_Parser.py,4475,322,1.8633540372670807,2.484472049689441,1.5527950310559007,0.9316770186335404,0.0,0.0,0.0,1.2422360248447204,2669,112,73,1.6987577639751552,5.074534161490683,124
Load_MasterDictionary.py,5742,357,1.1204481792717087,4.481792717086835,1.1204481792717087,1.1204481792717087,0.0,0.5602240896358543,0.2801120448179272,1.1204481792717087,3168,61,37,1.4901960784313726,4.795518207282913,191
LoughranMcDonald_MasterDictionary_2018.csv,6592257,86494,0.4104330936249913,2.723888362198534,0.34222026961407725,1.0463153513538512,0.028903738987675443,0.01618609383309825,0.021966841630633338,0.21388766850879828,1355408,3216384,4858,2.8406132217263624,8.78529146530395,86454
